date,M01AB,M01AE,N02BA,N02BE
31/01/2014,127.69,99.09,152.1,878.03
28/02/2014,133.32,126.05,177,1001.9
31/03/2014,137.44,92.95,147.655,779.275
30/04/2014,113.1,89.475,130.9,698.5
31/05/2014,101.79,119.933,132.1,628.78
30/06/2014,112.07,94.71,122.9,548.225
31/07/2014,117.06,95.01,129.3,491.9
31/08/2014,134.79,99.78,123.8,583.85
30/09/2014,108.78,109.094,122.1,887.82
31/10/2014,154.75,185.241,191.6,1856.815
30/11/2014,138.08,100.86,142.7,723.8
31/12/2014,131.9,121.401,111.124,1015.66
31/01/2015,135.91,130.349,141,1044.24
28/02/2015,115.71,123.74,131.83,953.252
31/03/2015,156.04,129.386,133.8,1084.85
30/04/2015,154.5,101.115,122.1,940.17
31/05/2015,160.02,119.117,136.04,765.9
30/06/2015,151.87,113.69,145.46,746.788
31/07/2015,175.61,113.81,125.5,708.828
31/08/2015,181.69,144.519,133.4,790.788
30/09/2015,166.22,134.122,110.4,852.125
31/10/2015,195.81,127.231,146.2,1574.335
30/11/2015,152.78,128.233,145.9,1277.725
31/12/2015,159.46,131.291,137,1258.349
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
